以下是为期一周（7天）每天两次的pH值质控数据，包含标准液浓度、仪器测定值及模拟噪声。数据已加入随机噪声（±0.05范围），并保持合理波动：
| 日期       | 时间   | 标准液浓度 | 仪器测定值 | 噪声值（测定值 - 标准液） |
|------------|--------|------------|------------|---------------------------|
| 2023-10-01 | 08:00  | 9.18       | 9.21       | +0.03                     |
| 2023-10-01 | 14:00  | 6.86       | 6.82       | -0.04                     |
| 2023-10-02 | 08:00  | 4.00       | 3.97       | -0.03                     |
| 2023-10-02 | 14:00  | 9.18       | 9.15       | -0.03                     |
| 2023-10-03 | 08:00  | 6.86       | 6.88       | +0.02                     |
| 2023-10-03 | 14:00  | 4.00       | 4.01       | +0.01                     |
| 2023-10-04 | 08:00  | 9.18       | 9.20       | +0.02                     |
| 2023-10-04 | 14:00  | 6.86       | 6.85       | -0.01                     |
| 2023-10-05 | 08:00  | 4.00       | 3.99       | -0.01                     |
| 2023-10-05 | 14:00  | 9.18       | 9.16       | -0.02                     |
| 2023-10-06 | 08:00  | 6.86       | 6.87       | +0.01                     |
| 2023-10-06 | 14:00  | 4.00       | 4.02       | +0.02                     |
| 2023-10-07 | 08:00  | 9.18       | 9.19       | +0.01                     |
