以下是2025年4月28日至4月30日（连续三天）嘉兴某河地表水监测数据模拟，符合电导率≥500μS/cm、气温≥20℃的要求：
| 时间       | 气温(℃) | 水温(℃) | 电导率(μS/cm) |
| 00:00      | 21.5     | 18.2     | 520            |
| 01:00      | 21.3     | 18.1     | 515            |
| 02:00      | 21.1     | 18.0     | 510            |
| 03:00      | 20.9     | 17.9     | 505            |
| 04:00      | 20.7     | 17.8     | 502            |
| 05:00      | 20.5     | 17.7     | 500            |
| 06:00      | 20.3     | 17.6     | 508            |
| 07:00      | 21.0     | 18.3     | 525            |
| 08:00      | 22.0     | 19.0     | 540            |
| 09:00      | 23.5     | 20.5     | 560            |
| 10:00      | 24.0     | 21.0     | 570            |
| 11:00      | 24.5     | 21.5     | 580            |
| 12:00      | 25.0     | 22.0     | 590            |
| 13:00      | 25.5     | 22.5     | 600            |
| 14:00      | 26.0     | 23.0     | 610            |
| 15:00      | 26.5     | 23.5     | 620            |
| 16:00      | 26.0     | 23.0     | 615            |
| 17:00      | 25.5     | 22.5     | 605            |
| 18:00      | 24.5     | 21.5     | 585            |
| 19:00      | 23.0     | 20.0     | 560            |
| 20:00      | 22.0     | 19.5     | 545            |
| 21:00      | 21.0     | 19.0     | 530            |
| 22:00      | 20.5     | 18.5     | 520            |
| 23:00      | 20.2     | 18.2     | 515            |
---
### **2025年4月29日**
| 时间       | 气温(℃) | 水温(℃) | 电导率(μS/cm) |
| 00:00      | 20.8     | 18.0     | 510            |
| 01:00      | 20.6     | 17.9     | 505            |
| 02:00      | 20.4     | 17.8     | 500            |
| 03:00      | 20.2     | 17.7     | 502            |
| 04:00      | 20.0     | 17.6     | 508            |
| 05:00      | 19.8     | 17.5     | 515            |
| 06:00      | 19.5     | 17.3     | 520            |
| 07:00      | 20.0     | 17.8     | 525            |
| 08:00      | 21.0     | 18.5     | 540            |
| 09:00      | 22.5     | 19.5     | 560            |
| 10:00      | 23.5     | 20.5     | 575            |
| 11:00      | 24.0     | 21.0     | 580            |
| 12:00      | 24.5     | 21.5     | 590            |
| 13:00      | 25.0     | 22.0     | 600            |
| 14:00      | 25.5     | 22.5     | 610            |
| 15:00      | 26.0     | 23.0     | 620            |
| 16:00      | 25.5     | 22.5     | 615            |
| 17:00      | 25.0     | 22.0     | 605            |
| 18:00      | 24.0     | 21.0     | 585            |
| 19:00      | 23.0     | 20.0     | 560            |
| 20:00      | 22.0     | 19.5     | 545            |
| 21:00      | 21.0     | 19.0     | 530            |
| 22:00      | 20.5     | 18.5     | 520            |
| 23:00      | 20.2     | 18.2     | 515            |
---
### **2025年4月30日**
| 时间       | 气温(℃) | 水温(℃) | 电导率(μS/cm) |
| 00:00      | 20.9     | 18.1     | 510            |
| 01:00      | 20.7     | 18.0     | 505            |
| 02:00      | 20.5     | 17.9     | 500            |
| 03:00      | 20.3     | 17.8     | 502            |
| 04:00      | 20.1     | 17.7     | 508            |
| 05:00      | 19.9     | 17.6     | 515            |
| 06:00      | 19.6     | 17.4     | 520            |
| 07:00      | 20.0     | 17.8     | 525            |
| 08:00      | 21.0     | 18.5     | 540            |
| 09:00      | 22.5     | 19.5     | 560            |
| 10:00      | 23.5     | 20.5     | 575            |
| 11:00      | 24.0     | 21.0     | 580            |
| 12:00      | 24.5     | 21.5     | 590            |
| 13:00      | 25.0     | 22.0     | 600            |
| 14:00      | 25.5     | 22.5     | 610            |
| 15:00      | 26.0     | 23.0     | 620            |
| 16:00      | 25.5     | 22.5     | 615            |
| 17:00      | 25.0     | 22.0     | 605            |
| 18:00      | 24.0     | 21.0     | 585            |
| 19:00      | 23.0     | 20.0     | 560            |
| 20:00      | 22.0     | 19.5     | 545            |
| 21:00      | 21.0     | 19.0     | 530            |
| 22:00      | 20.5     | 18.5     | 520            |
