以下是2025年5月1日至5月3日（连续三天）嘉兴某河地表水的监测数据模拟，符合电导率≥500μS/cm、气温≥20℃的要求。数据按每小时记录，包含日期、时间、气温、水温、电导率：
| 日期       | 时间   | 气温(℃) | 水温(℃) | 电导率(μS/cm) |
| 2025-05-01 | 00:00  | 21.5     | 18.2     | 580            |
| 2025-05-01 | 01:00  | 21.3     | 18.1     | 575            |
| 2025-05-01 | 02:00  | 21.1     | 18.0     | 570            |
| 2025-05-01 | 03:00  | 20.9     | 17.9     | 565            |
| 2025-05-01 | 04:00  | 20.7     | 17.8     | 560            |
| 2025-05-01 | 05:00  | 20.5     | 17.7     | 555            |
| 2025-05-01 | 06:00  | 20.3     | 17.6     | 550            |
| 2025-05-01 | 07:00  | 20.2     | 17.5     | 545            |
| 2025-05-01 | 08:00  | 21.0     | 18.3     | 570            |
| 2025-05-01 | 09:00  | 22.5     | 19.0     | 600            |
| 2025-05-01 | 10:00  | 23.8     | 19.8     | 620            |
| 2025-05-01 | 11:00  | 24.5     | 20.5     | 650            |
| 2025-05-01 | 12:00  | 25.0     | 21.0     | 680            |
| 2025-05-01 | 13:00  | 25.2     | 21.2     | 690            |
| 2025-05-01 | 14:00  | 25.1     | 21.1     | 685            |
| 2025-05-01 | 15:00  | 24.9     | 20.9     | 675            |
| 2025-05-01 | 16:00  | 24.3     | 20.4     | 660            |
| 2025-05-01 | 17:00  | 23.5     | 19.9     | 640            |
| 2025-05-01 | 18:00  | 22.8     | 19.5     | 625            |
| 2025-05-01 | 19:00  | 22.2     | 19.2     | 610            |
| 2025-05-01 | 20:00  | 21.7     | 18.9     | 595            |
| 2025-05-01 | 21:00  | 21.2     | 18.6     | 585            |
| 2025-05-01 | 22:00  | 20.8     | 18.3     | 575            |
| 2025-05-01 | 23:00  | 20.5     | 18.1     | 565            |
| **2025-05-02** | **00:00** | **21.0** | **18.0** | **570**        |
| 2025-05-02 | 01:00  | 20.8     | 17.9     | 560            |
| 2025-05-02 | 02:00  | 20.6     | 17.8     | 555            |
| 2025-05-02 | 03:00  | 20.4     | 17.7     | 550            |
| 2025-05-02 | 04:00  | 20.2     | 17.6     | 545            |
| 2025-05-02 | 05:00  | 20.0     | 17.5     | 540            |
| 2025-05-02 | 06:00  | 19.8     | 17.4     | 535            |
| 2025-05-02 | 07:00  | 19.6     | 17.3     | 530            |
| 2025-05-02 | 08:00  | 20.5     | 17.8     | 550            |
| 2025-05-02 | 09:00  | 22.0     | 18.5     | 580            |
| 2025-05-02 | 10:00  | 23.2     | 19.2     | 600            |
| 2025-05-02 | 11:00  | 24.0     | 19.8     | 620            |
| 2025-05-02 | 12:00  | 24.8     | 20.3     | 640            |
| 2025-05-02 | 13:00  | 25.1     | 20.5     | 650            |
| 2025-05-02 | 14:00  | 25.3     | 20.7     | 660            |
| 2025-05-02 | 15:00  | 25.0     | 20.4     | 655            |
| 2025-05-02 | 16:00  | 24.5     | 20.0     | 645            |
| 2025-05-02 | 17:00  | 23.8     | 19.7     | 630            |
| 2025-05-02 | 18:00  | 23.0     | 19.3     | 615            |
| 2025-05-02 | 19:00  | 22.3     | 19.0     | 600            |
| 2025-05-02 | 20:00  | 21.8     | 18.7     | 590            |
| 2025-05-02 | 21:00  | 21.3     | 18.4     | 580            |
| 2025-05-02 | 22:00  | 20.9     | 18.1     | 570            |
| 2025-05-02 | 23:00  | 20.6     | 17.9     | 560            |
| **2025-05-03** | **00:00** | **21.2** | **18.2** | **575**        |
| 2025-05-03 | 01:00  | 21.0     | 18.1     | 570            |
| 2025-05-03 | 02:00  | 20.8     | 18.0     | 565            |
| 2025-05-03 | 03:00  | 20.6     | 17.9     | 560            |
| 2025-05-03 | 04:00  | 20.4     | 17.8     | 555            |
| 2025-05-03 | 05:00  | 20.2     | 17.7     | 550            |
| 2025-05-03 | 06:00  | 20.0     | 17.6     | 545            |
| 2025-05-03 | 07:00  | 19.8     | 17.5     | 540            |
| 2025-05-03 | 08:00  | 20.5     | 17.9     | 555            |
| 2025-05-03 | 09:00  | 22.1     | 18.6     | 580            |
| 2025-05-03 | 10:00  | 23.5     | 19.3     | 610            |
| 2025-05-03 | 11:00  | 24.3     | 19.9     | 630            |
| 2025-05-03 | 12:00  | 25.0     | 20.5     | 650            |
| 2025-05-03 | 13:00  | 25.5     | 20.8     | 670            |
| 2025-05-03 | 14:00  | 25.7     | 21.0     | 680            |
| 2025-05-03 | 15:00  | 25.4     | 20.7     | 675            |
| 2025-05-03 | 16:00  | 24.9     | 20.4     | 665            |
| 2025-05-03 | 17:00  | 24.2     | 20.0     | 650            |
| 2025-05-03 | 18:00  | 23.4     | 19.7     | 635            |
| 2025-05-03 | 19:00  | 22.7     | 19.4     | 620            |
| 2025-05-03 | 20:00  | 22.1     | 19.1     | 605            |
| 2025-05-03 | 21:00  | 21.6     | 18.8     | 595            |
| 2025-05-03 | 22:00  | 21.1     | 18.5     | 585            |
