以下是为期一周每天两次的pH值监测质控数据，包含标准液浓度、仪器测定值及仿真噪声（±0.02~±0.05随机波动）。数据已按日期和时间分列，并保留两位小数：
| 日期       | 时间       | 标准液浓度 | 仪器测定值 | 噪声（测定值-标准液） |
|------------|------------|------------|------------|------------------------|
| 2023-10-01 | Morning    | 9.18       | 9.19       | +0.01                  |
| 2023-10-01 | Evening    | 6.86       | 6.84       | -0.02                  |
| 2023-10-02 | Morning    | 6.86       | 6.87       | +0.01                  |
| 2023-10-02 | Evening    | 4.00       | 4.01       | +0.01                  |
| 2023-10-03 | Morning    | 4.00       | 3.99       | -0.01                  |
| 2023-10-03 | Evening    | 9.18       | 9.17       | -0.01                  |
| 2023-10-04 | Morning    | 9.18       | 9.20       | +0.02                  |
| 2023-10-04 | Evening    | 6.86       | 6.85       | -0.01                  |
| 2023-10-05 | Morning    | 6.86       | 6.88       | +0.02                  |
| 2023-10-05 | Evening    | 4.00       | 3.98       | -0.02                  |
| 2023-10-06 | Morning    | 4.00       | 4.02       | +0.02                  |
| 2023-10-06 | Evening    | 9.18       | 9.16       | -0.02                  |
| 2023-10-07 | Morning    | 9.18       | 9.18       | 0.00                   |
