以下是模拟的2025年5月15日-17日嘉兴某河地表水监测数据（假设为嘉兴市南湖区域），符合电导率>500uS/cm、气温>20℃的条件：
| 日期       | 时间   | 气温(℃) | 水温(℃) | 电导率(uS/cm) |
|------------|--------|----------|----------|----------------|
| 2025-05-15 | 00:00  | 21.3     | 18.2     | 542.6          |
| 2025-05-15 | 01:00  | 21.1     | 18.1     | 538.4          |
| 2025-05-15 | 02:00  | 20.9     | 18.0     | 535.2          |
| 2025-05-15 | 03:00  | 20.7     | 17.9     | 531.8          |
| 2025-05-15 | 04:00  | 20.5     | 17.8     | 528.3          |
| 2025-05-15 | 05:00  | 20.3     | 17.7     | 524.9          |
| 2025-05-15 | 06:00  | 20.1     | 17.6     | 521.5          |
| 2025-05-15 | 07:00  | 20.0     | 17.5     | 518.2          |
| 2025-05-15 | 08:00  | 20.8     | 17.8     | 530.1          |
| 2025-05-15 | 09:00  | 21.6     | 18.3     | 545.7          |
| 2025-05-15 | 10:00  | 22.4     | 18.8     | 560.3          |
| 2025-05-15 | 11:00  | 23.2     | 19.3     | 575.8          |
| 2025-05-15 | 12:00  | 24.0     | 19.8     | 590.4          |
| 2025-05-15 | 13:00  | 24.8     | 20.3     | 605.1          |
| 2025-05-15 | 14:00  | 25.6     | 20.8     | 620.7          |
| 2025-05-15 | 15:00  | 26.4     | 21.3     | 636.3          |
| 2025-05-15 | 16:00  | 25.2     | 20.9     | 615.9          |
| 2025-05-15 | 17:00  | 24.0     | 20.5     | 590.5          |
| 2025-05-15 | 18:00  | 22.8     | 20.1     | 565.2          |
| 2025-05-15 | 19:00  | 21.6     | 19.7     | 540.8          |
| 2025-05-15 | 20:00  | 20.4     | 19.3     | 516.4          |
| 2025-05-15 | 21:00  | 20.2     | 19.2     | 512.1          |
| 2025-05-15 | 22:00  | 20.0     | 19.0     | 508.7          |
| 2025-05-15 | 23:00  | 19.8     | 18.9     | 505.3          |
| 2025-05-16 | 00:00  | 21.5     | 18.4     | 547.9          |
|------------|--------|----------|----------|----------------|
| 2025-05-16 | 01:00  | 21.3     | 18.3     | 543.6          |
| 2025-05-16 | 02:00  | 21.1     | 18.2     | 539.3          |
| 2025-05-16 | 03:00  | 20.9     | 18.1     | 535.0          |
| 2025-05-16 | 04:00  | 20.7     | 18.0     | 530.7          |
| 2025-05-16 | 05:00  | 20.5     | 17.9     | 526.4          |
| 2025-05-16 | 06:00  | 20.3     | 17.8     | 522.1          |
| 2025-05-16 | 07:00  | 20.1     | 17.7     | 517.8          |
| 2025-05-16 | 08:00  | 20.9     | 17.9     | 530.5          |
| 2025-05-16 | 09:00  | 21.7     | 18.4     | 545.2          |
| 2025-05-16 | 10:00  | 22.5     | 18.9     | 560.9          |
| 2025-05-16 | 11:00  | 23.3     | 19.4     | 576.6          |
| 2025-05-16 | 12:00  | 24.1     | 19.9     | 592.3          |
| 2025-05-16 | 13:00  | 24.9     | 20.4     | 608.0          |
| 2025-05-16 | 14:00  | 25.7     | 20.9     | 623.7          |
| 2025-05-16 | 15:00  | 26.5     | 21.4     | 639.4          |
| 2025-05-16 | 16:00  | 25.3     | 21.0     | 619.1          |
| 2025-05-16 | 17:00  | 24.1     | 20.6     | 594.8          |
| 2025-05-16 | 18:00  | 22.9     | 20.2     | 569.5          |
| 2025-05-16 | 19:00  | 21.7     | 19.8     | 545.2          |
| 2025-05-16 | 20:00  | 20.5     | 19.4     | 520.9          |
| 2025-05-16 | 21:00  | 20.3     | 19.3     | 516.6          |
| 2025-05-16 | 22:00  | 20.1     | 19.1     | 512.3          |
| 2025-05-16 | 23:00  | 19.9     | 18.9     | 508.0          |
| 2025-05-17 | 00:00  | 21.6     | 18.5     | 549.2          |
|------------|--------|----------|----------|----------------|
| 2025-05-17 | 01:00  | 21.4     | 18.4     | 544.9          |
| 2025-05-17 | 02:00  | 21.2     | 18.3     | 540.6          |
| 2025-05-17 | 03:00  | 21.0     | 18.2     | 536.3          |
| 2025-05-17 | 04:00  | 20.8     | 18.1     | 532.0          |
| 2025-05-17 | 05:00  | 20.6     | 18.0     | 527.7          |
| 2025-05-17 | 06:00  | 20.4     | 17.9     | 523.4          |
| 2025-05-17 | 07:00  | 20.2     | 17.8     | 519.1          |
| 2025-05-17 | 08:00  | 20.0     | 17.7     | 514.8          |
| 2025-05-17 | 09:00  | 20.8     | 18.0     | 527.5          |
| 2025-05-17 | 10:00  | 21.6     | 18.5     | 543.2          |
| 2025-05-17 | 11:00  | 22.4     | 19.0     | 558.9          |
| 2025-05-17 | 12:00  | 23.2     | 19.5     | 574.6          |
| 2025-05-17 | 13:00  | 24.0     | 20.0     | 590.3          |
| 2025-05-17 | 14:00  | 24.8     | 20.5     | 606.0          |
| 2025-05-17 | 15:00  | 25.6     | 21.0     | 621.7          |
| 2025-05-17 | 16:00  | 24.4     | 20.6     | 601.4          |
| 2025-05-17 | 17:00  | 23.2     | 20.2     | 577.1          |
| 2025-05-17 | 18:00  | 22.0     | 19.8     | 552.8          |
| 2025-05-17 | 19:00  | 20.8     | 19.4     | 528.5          |
| 2025-05-17 | 20:00  | 20.6     | 19.2     | 524.2          |
| 2025-05-17 | 21:00  | 20.4     | 19.1     | 519.9          |
| 2025-05-17 | 22:00  | 20.2     | 18.9     | 515.6          |
