以下是为2025年4月30日（假设为4月底）嘉兴某河地表水的监测数据模拟，符合电导率≥500uS/cm、气温≥20℃的要求。数据基于自然环境规律生成，包含合理波动范围：
| 日期       | 时间   | 水温(℃) | 电导率(uS/cm) | 气温(℃) |
|------------|--------|----------|----------------|----------|
| 2025-04-30 | 00:00  | 18.2     | 520            | 21.5     |
| 2025-04-30 | 01:00  | 18.1     | 515            | 21.3     |
| 2025-04-30 | 02:00  | 18.0     | 510            | 21.0     |
| 2025-04-30 | 03:00  | 17.9     | 505            | 20.8     |
| 2025-04-30 | 04:00  | 17.8     | 508            | 20.5     |
| 2025-04-30 | 05:00  | 17.7     | 512            | 20.2     |
| 2025-04-30 | 06:00  | 17.6     | 518            | 20.0     |
| 2025-04-30 | 07:00  | 17.8     | 525            | 20.5     |
| 2025-04-30 | 08:00  | 18.0     | 530            | 21.0     |
| 2025-04-30 | 09:00  | 18.3     | 535            | 21.8     |
| 2025-04-30 | 10:00  | 18.6     | 540            | 22.5     |
| 2025-04-30 | 11:00  | 18.9     | 545            | 23.2     |
| 2025-04-30 | 12:00  | 19.2     | 550            | 24.0     |
| 2025-04-30 | 13:00  | 19.5     | 555            | 24.5     |
| 2025-04-30 | 14:00  | 19.8     | 560            | 25.0     |
| 2025-04-30 | 15:00  | 20.1     | 565            | 25.5     |
| 2025-04-30 | 16:00  | 20.3     | 570            | 25.8     |
| 2025-04-30 | 17:00  | 20.5     | 575            | 26.0     |
| 2025-04-30 | 18:00  | 20.2     | 572            | 25.5     |
| 2025-04-30 | 19:00  | 19.9     | 568            | 24.8     |
| 2025-04-30 | 20:00  | 19.6     | 565            | 24.0     |
| 2025-04-30 | 21:00  | 19.3     | 560            | 23.5     |
| 2025-04-30 | 22:00  | 19.0     | 555            | 23.0     |
| 2025-04-30 | 23:00  | 18.7     | 550            | 22.5     |
| **2025-05-01** | 00:00  | 18.5     | 545            | 22.0     |
| 2025-05-01 | 01:00  | 18.4     | 540            | 21.8     |
| 2025-05-01 | 02:00  | 18.3     | 535            | 21.5     |
| 2025-05-01 | 03:00  | 18.2     | 530            | 21.2     |
| 2025-05-01 | 04:00  | 18.1     | 525            | 21.0     |
| 2025-05-01 | 05:00  | 18.0     | 520            | 20.8     |
| 2025-05-01 | 06:00  | 17.9     | 515            | 20.5     |
| 2025-05-01 | 07:00  | 17.8     | 510            | 20.2     |
| 2025-05-01 | 08:00  | 18.0     | 515            | 20.5     |
| 2025-05-01 | 09:00  | 18.3     | 520            | 21.0     |
| 2025-05-01 | 10:00  | 18.6     | 525            | 21.8     |
| 2025-05-01 | 11:00  | 18.9     | 530            | 22.5     |
| 2025-05-01 | 12:00  | 19.2     | 535            | 23.0     |
| 2025-05-01 | 13:00  | 19.5     | 540            | 23.5     |
| 2025-05-01 | 14:00  | 19.8     | 545            | 24.0     |
| 2025-05-01 | 15:00  | 20.1     | 550            | 24.5     |
| 2025-05-01 | 16:00  | 20.3     | 555            | 25.0     |
| 2025-05-01 | 17:00  | 20.5     | 560            | 25.5     |
| 2025-05-01 | 18:00  | 20.2     | 558            | 25.2     |
| 2025-05-01 | 19:00  | 19.9     | 555            | 24.8     |
| 2025-05-01 | 20:00  | 19.6     | 550            | 24.5     |
| 2025-05-01 | 21:00  | 19.3     | 545            | 24.0     |
| 2025-05-01 | 22:00  | 19.0     | 540            | 23.5     |
| 2025-05-01 | 23:00  | 18.7     | 535            | 23.0     |
| **2025-05-02** | 00:00  | 18.5     | 530            | 22.5     |
| 2025-05-02 | 01:00  | 18.4     | 525            | 22.0     |
| 2025-05-02 | 02:00  | 18.3     | 520            | 21.8     |
| 2025-05-02 | 03:00  | 18.2     | 515            | 21.5     |
| 2025-05-02 | 04:00  | 18.1     | 510            | 21.2     |
| 2025-05-02 | 05:00  | 18.0     | 505            | 21.0     |
| 2025-05-02 | 06:00  | 17.9     | 508            | 20.8     |
| 2025-05-02 | 07:00  | 17.8     | 512            | 20.5     |
| 2025-05-02 | 08:00  | 18.0     | 515            | 20.2     |
| 2025-05-02 | 09:00  | 18.3     | 520            | 20.5     |
| 2025-05-02 | 10:00  | 18.6     | 525            | 21.0     |
| 2025-05-02 | 11:00  | 18.9     | 530            | 21.8     |
| 2025-05-02 | 12:00  | 19.2     | 535            | 22.5     |
| 2025-05-02 | 13:00  | 19.5     | 540            | 23.0     |
| 2025-05-02 | 14:00  | 19.8     | 545            | 23.5     |
| 2025-05-02 | 15:00  | 20.1     | 550            | 24.0     |
| 2025-05-02 | 16:00  | 20.3     | 555            | 24.5     |
| 2025-05-02 | 17:00  | 20.5     | 560            | 25.0     |
| 2025-05-02 | 18:00  | 20.2     | 558            | 24.8     |
| 2025-05-02 | 19:00  | 19.9     | 555            | 24.5     |
| 2025-05-02 | 20:00  | 19.6     | 550            | 24.0     |
| 2025-05-02 | 21:00  | 19.3     | 545            | 23.5     |
| 2025-05-02 | 22:00  | 19.0     | 540            | 23.0     |
