以下是模拟的2025年5月1日至5月3日嘉兴某河地表水监测数据（每小时记录一次），符合电导率≥500uS/cm、气温≥20℃的条件：
| 日期       | 时间   | 水温（℃） | 电导率（uS/cm） | 气温（℃） |
|------------|--------|------------|------------------|------------|
| 2025-05-01 | 00:00  | 18.2       | 520              | 21.5       |
| 2025-05-01 | 01:00  | 18.1       | 515              | 21.3       |
| 2025-05-01 | 02:00  | 18.0       | 510              | 21.0       |
| 2025-05-01 | 03:00  | 17.9       | 505              | 20.8       |
| 2025-05-01 | 04:00  | 17.8       | 502              | 20.5       |
| 2025-05-01 | 05:00  | 17.7       | 500              | 20.3       |
| 2025-05-01 | 06:00  | 17.6       | 505              | 20.2       |
| 2025-05-01 | 07:00  | 17.8       | 510              | 21.0       |
| 2025-05-01 | 08:00  | 18.0       | 515              | 21.8       |
| 2025-05-01 | 09:00  | 18.3       | 525              | 22.5       |
| 2025-05-01 | 10:00  | 18.5       | 530              | 23.0       |
| 2025-05-01 | 11:00  | 18.7       | 535              | 23.5       |
| 2025-05-01 | 12:00  | 19.0       | 540              | 24.0       |
| 2025-05-01 | 13:00  | 19.2       | 545              | 24.5       |
| 2025-05-01 | 14:00  | 19.4       | 550              | 25.0       |
| 2025-05-01 | 15:00  | 19.6       | 555              | 25.2       |
| 2025-05-01 | 16:00  | 19.5       | 550              | 25.0       |
| 2025-05-01 | 17:00  | 19.3       | 545              | 24.8       |
| 2025-05-01 | 18:00  | 19.0       | 540              | 24.5       |
| 2025-05-01 | 19:00  | 18.8       | 535              | 24.0       |
| 2025-05-01 | 20:00  | 18.5       | 530              | 23.5       |
| 2025-05-01 | 21:00  | 18.2       | 525              | 23.0       |
| 2025-05-01 | 22:00  | 18.0       | 520              | 22.5       |
| 2025-05-01 | 23:00  | 17.8       | 515              | 22.0       |
| **2025-05-02** | **00:00** | **17.6** | **510** | **21.5** |
| 2025-05-02 | 01:00  | 17.5       | 508              | 21.2       |
| 2025-05-02 | 02:00  | 17.4       | 505              | 21.0       |
| 2025-05-02 | 03:00  | 17.3       | 502              | 20.8       |
| 2025-05-02 | 04:00  | 17.2       | 500              | 20.5       |
| 2025-05-02 | 05:00  | 17.1       | 505              | 20.3       |
| 2025-05-02 | 06:00  | 17.0       | 510              | 20.2       |
| 2025-05-02 | 07:00  | 17.2       | 515              | 20.8       |
| 2025-05-02 | 08:00  | 17.4       | 520              | 21.5       |
| 2025-05-02 | 09:00  | 17.6       | 525              | 22.0       |
| 2025-05-02 | 10:00  | 17.8       | 530              | 22.5       |
| 2025-05-02 | 11:00  | 18.0       | 535              | 23.0       |
| 2025-05-02 | 12:00  | 18.2       | 540              | 23.5       |
| 2025-05-02 | 13:00  | 18.4       | 545              | 24.0       |
| 2025-05-02 | 14:00  | 18.6       | 550              | 24.5       |
| 2025-05-02 | 15:00  | 18.8       | 555              | 25.0       |
| 2025-05-02 | 16:00  | 18.6       | 550              | 24.8       |
| 2025-05-02 | 17:00  | 18.4       | 545              | 24.5       |
| 2025-05-02 | 18:00  | 18.2       | 540              | 24.2       |
| 2025-05-02 | 19:00  | 18.0       | 535              | 24.0       |
| 2025-05-02 | 20:00  | 17.8       | 530              | 23.5       |
| 2025-05-02 | 21:00  | 17.6       | 525              | 23.0       |
| 2025-05-02 | 22:00  | 17.4       | 520              | 22.5       |
| 2025-05-02 | 23:00  | 17.2       | 515              | 22.0       |
| **2025-05-03** | **00:00** | **17.0** | **510** | **21.5** |
| 2025-05-03 | 01:00  | 16.9       | 508              | 21.2       |
| 2025-05-03 | 02:00  | 16.8       | 505              | 21.0       |
| 2025-05-03 | 03:00  | 16.7       | 502              | 20.8       |
| 2025-05-03 | 04:00  | 16.6       | 500              | 20.5       |
| 2025-05-03 | 05:00  | 16.5       | 505              | 20.3       |
| 2025-05-03 | 06:00  | 16.4       | 510              | 20.2       |
| 2025-05-03 | 07:00  | 16.6       | 515              | 20.8       |
| 2025-05-03 | 08:00  | 16.8       | 520              | 21.5       |
| 2025-05-03 | 09:00  | 17.0       | 525              | 22.0       |
| 2025-05-03 | 10:00  | 17.2       | 530              | 22.5       |
| 2025-05-03 | 11:00  | 17.4       | 535              | 23.0       |
| 2025-05-03 | 12:00  | 17.6       | 540              | 23.5       |
| 2025-05-03 | 13:00  | 17.8       | 545              | 24.0       |
| 2025-05-03 | 14:00  | 18.0       | 550              | 24.5       |
| 2025-05-03 | 15:00  | 18.2       | 555              | 25.0       |
| 2025-05-03 | 16:00  | 18.0       | 550              | 24.8       |
| 2025-05-03 | 17:00  | 17.8       | 545              | 24.5       |
| 2025-05-03 | 18:00  | 17.6       | 540              | 24.2       |
| 2025-05-03 | 19:00  | 17.4       | 535              | 24.0       |
| 2025-05-03 | 20:00  | 17.2       | 530              | 23.5       |
| 2025-05-03 | 21:00  | 17.0       | 525              | 23.0       |
| 2025-05-03 | 22:00  | 16.8       | 520              | 22.5       |
