以下是2025年4月30日至5月2日（连续三天）嘉兴某河地表水监测数据模拟，符合电导率≥500uS/cm、气温≥20℃的条件。数据包含每小时记录，模拟自然波动并保持合理性：
| 时间         | 水温（℃） | 电导率（uS/cm） | 气温（℃） |
|--------------|------------|------------------|------------|
| 00:00        | 19.2       | 520              | 21.5       |
| 01:00        | 19.1       | 515              | 21.3       |
| 02:00        | 19.0       | 518              | 21.2       |
| 03:00        | 18.9       | 522              | 21.1       |
| 04:00        | 18.8       | 525              | 21.0       |
| 05:00        | 18.7       | 528              | 20.9       |
| 06:00        | 18.6       | 530              | 20.8       |
| 07:00        | 18.5       | 532              | 20.7       |
| 08:00        | 18.4       | 535              | 20.6       |
| 09:00        | 18.3       | 538              | 20.5       |
| 10:00        | 18.2       | 540              | 20.4       |
| 11:00        | 18.1       | 542              | 20.3       |
| 12:00        | 18.0       | 545              | 20.2       |
| 13:00        | 18.2       | 548              | 20.1       |
| 14:00        | 18.4       | 550              | 20.0       |
| 15:00        | 18.6       | 552              | 20.5       |
| 16:00        | 18.8       | 555              | 21.0       |
| 17:00        | 19.0       | 558              | 21.5       |
| 18:00        | 19.2       | 560              | 22.0       |
| 19:00        | 19.3       | 562              | 22.5       |
| 20:00        | 19.4       | 565              | 23.0       |
| 21:00        | 19.5       | 568              | 23.5       |
| 22:00        | 19.6       | 570              | 24.0       |
| 23:00        | 19.7       | 572              | 24.5       |
---
### **2025年5月1日**
| 时间         | 水温（℃） | 电导率（uS/cm） | 气温（℃） |
|--------------|------------|------------------|------------|
| 00:00        | 19.8       | 520              | 24.5       |
| 01:00        | 19.7       | 518              | 24.3       |
| 02:00        | 19.6       | 519              | 24.2       |
| 03:00        | 19.5       | 521              | 24.1       |
| 04:00        | 19.4       | 523              | 24.0       |
| 05:00        | 19.3       | 525              | 23.9       |
| 06:00        | 19.2       | 528              | 23.8       |
| 07:00        | 19.1       | 530              | 23.7       |
| 08:00        | 19.0       | 532              | 23.6       |
| 09:00        | 18.9       | 535              | 23.5       |
| 10:00        | 18.8       | 538              | 23.4       |
| 11:00        | 18.7       | 540              | 23.3       |
| 12:00        | 18.6       | 542              | 23.2       |
| 13:00        | 18.5       | 545              | 23.1       |
| 14:00        | 18.4       | 548              | 23.0       |
| 15:00        | 18.3       | 550              | 23.5       |
| 16:00        | 18.2       | 552              | 24.0       |
| 17:00        | 18.1       | 555              | 24.5       |
| 18:00        | 18.0       | 558              | 25.0       |
| 19:00        | 17.9       | 560              | 25.5       |
| 20:00        | 17.8       | 562              | 26.0       |
| 21:00        | 17.7       | 565              | 26.5       |
| 22:00        | 17.6       | 568              | 27.0       |
| 23:00        | 17.5       | 570              | 27.5       |
---
### **2025年5月2日**
| 时间         | 水温（℃） | 电导率（uS/cm） | 气温（℃） |
|--------------|------------|------------------|------------|
| 00:00        | 17.4       | 520              | 27.5       |
| 01:00        | 17.3       | 518              | 27.3       |
| 02:00        | 17.2       | 519              | 27.2       |
| 03:00        | 17.1       | 521              | 27.1       |
| 04:00        | 17.0       | 523              | 27.0       |
| 05:00        | 16.9       | 525              | 26.9       |
| 06:00        | 16.8       | 528              | 26.8       |
| 07:00        | 16.7       | 530              | 26.7       |
| 08:00        | 16.6       | 532              | 26.6       |
| 09:00        | 16.5       | 535              | 26.5       |
| 10:00        | 16.4       | 538              | 26.4       |
| 11:00        | 16.3       | 540              | 26.3       |
| 12:00        | 16.2       | 542              | 26.2       |
| 13:00        | 16.1       | 545              | 26.1       |
| 14:00        | 16.0       | 548              | 26.0       |
| 15:00        | 15.9       | 550              | 26.5       |
| 16:00        | 15.8       | 552              | 27.0       |
| 17:00        | 15.7       | 555              | 27.5       |
| 18:00        | 15.6       | 558              | 28.0       |
| 19:00        | 15.5       | 560              | 28.5       |
| 20:00        | 15.4       | 562              | 29.0       |
| 21:00        | 15.3       | 565              | 29.5       |
| 22:00        | 15.2       | 568              | 30.0       |
